cuce,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
19-1335-00-1042832-0-E,7,5125000,34200,JERINGAS DESCARTABLE DE 20 ML X 50 UNID.,CAJAS,4,,,CHOQUE FLORES ROBERT,80,320,4,80,320,Contratado,Cronograma
19-1335-00-1042832-0-E,8,5125000,34200,OXITETRACICLIMA L.A. X 25O ML.,FRASCO S,6,,,CHOQUE FLORES ROBERT,165,990,6,165,990,Contratado,Cronograma
19-1335-00-1042832-0-E,9,5125000,34200,"AGUJAS METALICAS HOPPNER 15X15 (12 UNIID,)",CAJAS,50,,,CHOQUE FLORES ROBERT,63,3150,50,63,3150,Contratado,Cronograma
19-1335-00-1042832-0-E,10,5125000,34200,FIPRONEX X 250 ML,FRASCO,6,,,CHOQUE FLORES ROBERT,175,1050,6,175,1050,Contratado,Cronograma
19-1335-00-1042832-0-E,11,5125000,34200,JUEGO DE GOMA HOPPNER DE 4 PIEZAS,CAJAS,10,,,CHOQUE FLORES ROBERT,32,320,10,32,320,Contratado,Cronograma
19-1335-00-1042832-0-E,12,5125000,34200,HOJA DE BISTURI X 100 UNID,CAJAS,2,,,CHOQUE FLORES ROBERT,70,140,2,70,140,Contratado,Cronograma
19-1335-00-1042832-0-E,13,5125000,34200,"AGUJAS METALICAS HOPPNER 12X18 (12 UNIID,)",CAJAS,50,,,CHOQUE FLORES ROBERT,63,3150,50,63,3150,Contratado,Cronograma
19-1335-00-1042832-0-E,14,5125000,34200,MARCADOR ROSCA COLOR ROJO,PIEZAS,100,,,CHOQUE FLORES ROBERT,20,2000,100,20,2000,Contratado,Cronograma
19-1335-00-1042832-0-E,15,5125000,34200,GALERFIN X 20 ML,FRASCO,50,,,CHOQUE FLORES ROBERT,19,950,50,19,950,Contratado,Cronograma
19-1335-00-1042832-0-E,16,5125000,34200,SOGAS DE POLITILENO DE 1/2 PULGADA,KG,78,,,CHOQUE FLORES ROBERT,90,7020,78,90,7020,Contratado,Cronograma
19-906-23-1039291-0-E,1,5121000,34200,POR LA ADQUISISCION DEL REACTIVO TARJETAS EN GEL LISS COMMBS CANTIDAD 1/2 CAJA,CAJA,0.5,,,ANALISIS CLINICO TITICACA S.R.L.,55000,27500,0.5,55000,27500,Contratado,Cronograma
20-0006-00-1051648-0-E,1,4229000,34200,ADQUISICION DE BARBIJOS QUIRURGICOS,BIENES,14000,,,BUSINESS SILVER NET SUPPORTING SOUTH SOLUTIONS SOCIEDAD DE RESPONSABILIDAD LIMITADA,2.23,31220,14000,2.23,31220,Contratado,Cronograma
20-0015-00-1047637-0-E,1,4213000,33300,MASCARILLA CUBRE BOCA (3CAPAS),UNIDAD,4500,,,VILLA IMPERIAL INDUSTRIAL S.R.L.,4.29,19305,4500,4.29,19305,Contratado,Cronograma
20-0015-01-1039760-0-E,1,1115000,34200,BARBIJOS (CUBRE BOCAS),UNIDAD,80000,,,SERVICIO NACIONAL TEXTIL - SENATEX,7.5,600000,80000,7.5,600000,Contratado,Cronograma
20-0015-01-1041516-0-E,1,1235000,34200,ALCOHOL DESINFECTANTE 70% V/V BOTELLAS DE 1LTS. PARA LOS COMANDOS DEPARTAMENTALES DE POLICIA A NIVEL NACIONAL.,LITRO,15070,,,INGENIO AZUCARERO GUABIRA SA,10,150700,,,,Contratado,Cronograma
20-0015-01-1041516-0-E,2,1235000,34200,ALCOHOL DESINFECTANTE 70% V/V BOTELLAS DE 1LTS. PARA EL CMDO. DPTAL. DE POLICIA  SANTA CRUZ.,LITRO,2700,,,INGENIO AZUCARERO GUABIRA SA,9,24300,,,,Contratado,Cronograma
20-0015-01-1043210-0-E,1,4214000,34200,ALCOHOL DESINFECTANTE 70%V/V BOTELLAS DE 1LTS. PARA LOS COMANDOS DEPARTAMENTALES DE POLICIA A NIVEL NACIONAL.,LITRO,15070,,,INGENIO AZUCARERO GUABIRA SA,10,150700,15070,10,150700,Contratado,Cronograma
20-0015-01-1043210-0-E,2,4214000,34200,ALCOHOL DESINFECTANTE 70%V/V BOTELLAS DE 1LTS. PARA EL CMDO. DPTAL. DE POLICIA SANTA CRUZ.,LITRO,2700,,,INGENIO AZUCARERO GUABIRA SA,9,24300,2700,9,24300,Contratado,Cronograma
20-0015-01-1043657-0-E,1,1115000,34200,BARBIJOS (CUBRE BOCAS),UNIDAD,80000,,,SERVICIO NACIONAL TEXTIL - SENATEX,7.5,600000,80000,7.5,600000,Contratado,Cronograma
20-0015-22-1043663-0-E,1,2519000,39700,"ADQUISICION DE BATERIAS DE 12 V.A GEL PARA LA F.T.C. ""YUNGAS"" Y F.T.C. ""CHAPARE"" DEPENDIENTES DEL CEO. ""TTE. GIRONDA""",PIEZAS,24,,,HERRERA VARGAS MIKAELA VICENTA,1490,35760,,,,Contratado,Cronograma
20-0015-22-1048826-0-E,1,4218000,39400,TERMOMETRO INFRARROJO TIPO PISTOLA - ALARMA EN CASO DE TENER FIEBRE ALTA,PIEZA,5,,,MILCAR SRL,450,2250,,,,Contratado,Cronograma
20-0015-22-1048826-0-E,2,5110000,39400,BARBIJOS QUIRURGICOS DE 3 CAPAS  - DESECHABLES  COLOR BLANCO,PIEZA,5000,,,MILCAR SRL,3.6,18000,,,,Contratado,Cronograma
20-0015-22-1048826-0-E,3,1235000,34200,ALCOHOL EN GEL  GALON DE 5 LITROS COLOR CELESTE,GALON,20,,,MILCAR SRL,150,3000,,,,Contratado,Cronograma
20-0015-22-1050912-0-E,1,4229000,34200,BARBIJO VERDE (POLICIA),PIEZA,1260,,,BALBOA MAMANI ERICK,5.5,6930,1260,5.5,6930,Contratado,Cronograma
20-0015-22-1050912-0-E,2,4229000,34200,BARBIJO MULTICAM,PIEZA,4340,,,BALBOA MAMANI ERICK,5.5,23870,4340,5.5,23870,Contratado,Cronograma
20-0016-00-1042397-0-E,1,4112000,34200,ITEM 2 - BARBIJOS N 95,UNIDAD,500,,,BALBOA MAMANI ERICK,30,15000,500,30,15000,Contratado,Cronograma
20-0020-00-1048549-0-E,1,4213000,33300,ADQUISICION DE BARBIJO DE SEGURIDAD,UNIDAD,600000,,,SERVICIO NACIONAL TEXTIL - SENATEX,7.2,4320000,600000,7.2,4320000,Contratado,Cronograma
20-0020-02-1041633-0-E,1,4713000,39100,JABONCILLO LIQUIDO,UNIDADE S,320,,,OFISOFT S.R.L.,18,5760,320,18,5760,Contratado,Cronograma
20-0020-02-1041633-0-E,2,4713000,39100,ESPONJAS PQTES. DE 4 UU.,PAQUET ES,320,,,OFISOFT S.R.L.,4.9,1568,320,4.9,1568,Contratado,Cronograma
20-0020-02-1041633-0-E,3,4713000,39100,PAPEL HIGIENICO,PAQUET ES,35,,,OFISOFT S.R.L.,33.1,1158.5,35,33.1,1158.5,Contratado,Cronograma
20-0020-02-1041633-0-E,4,4713000,39100,JABONCILLO LIQUIDO DE 5 LTS.,BIDONES,13,,,OFISOFT S.R.L.,46,598,13,46,598,Contratado,Cronograma
20-0020-02-1041633-0-E,5,4713000,39100,JABON EN BARRA,UNIDADE S,320,,,OFISOFT S.R.L.,4.18,1337.6,320,4.18,1337.6,Contratado,Cronograma
20-0020-02-1041633-0-E,6,4713000,39100,TRAPOS PLOMOS,UNIDADE S,100,,,OFISOFT S.R.L.,6,600,100,6,600,Contratado,Cronograma
20-0020-02-1041633-0-E,7,4713000,39100,AROMATIZANTES,UNIDADE S,52,,,OFISOFT S.R.L.,16,832,52,16,832,Contratado,Cronograma
20-0020-02-1041633-0-E,8,4713000,39100,DESINFECTANTE LISOFORM,UNIDADE S,320,,,OFISOFT S.R.L.,24.55,7856,320,24.55,7856,Contratado,Cronograma
20-0020-02-1041633-0-E,9,4713000,39100,RECOGEDORES DE BASURA,UNIDADE S,18,,,OFISOFT S.R.L.,12,216,18,12,216,Contratado,Cronograma
20-0020-02-1041633-0-E,10,4713000,39100,TALCOS,UNIDADE S,48,,,OFISOFT S.R.L.,12,576,48,12,576,Contratado,Cronograma
20-0020-02-1041633-0-E,11,4713000,39700,LAVA VAJILLA,UNIDADE S,54,,,OFISOFT S.R.L.,16.5,891,54,16.5,891,Contratado,Cronograma
20-0020-02-1041633-0-E,12,4713000,39100,PASTILLAS PARA INODORO,UNIDADE S,320,,,OFISOFT S.R.L.,3.85,1232,320,3.85,1232,Contratado,Cronograma
20-0020-02-1041633-0-E,13,4713000,39100,CEPILLO DE INODORO,UNIDADE S,12,,,OFISOFT S.R.L.,12,144,12,12,144,Contratado,Cronograma
20-0020-02-1041633-0-E,14,4713000,39100,AMBIENTADOR EN SPRAY,UNIDADE S,320,,,OFISOFT S.R.L.,11,3520,320,11,3520,Contratado,Cronograma
20-0020-02-1041633-0-E,15,4713000,39100,TOALLAS HUMEDAS PQTE. DE 100 UU.,UNIDADE S,320,,,OFISOFT S.R.L.,12,3840,320,12,3840,Contratado,Cronograma
20-0020-02-1041633-0-E,16,4713000,39100,ALCOHOL EN GEL DE 5 LTS.,BIDONES,18,,,OFISOFT S.R.L.,210,3780,18,210,3780,Contratado,Cronograma
20-0020-02-1041633-0-E,17,4713000,39100,SACA GRASA,UNIDADE S,54,,,OFISOFT S.R.L.,16,864,54,16,864,Contratado,Cronograma
20-0020-02-1041633-0-E,18,4713000,39100,BASUREROS,UNIDADE S,18,,,OFISOFT S.R.L.,20,360,18,20,360,Contratado,Cronograma
20-0020-02-1041633-0-E,19,4713000,39100,HARAGAN,UNIDADE S,18,,,OFISOFT S.R.L.,10,180,18,10,180,Contratado,Cronograma
20-0020-02-1041633-0-E,20,4713000,39100,LIMPIA BAÑOS DE 5 LTS.,BIDONES,13,,,OFISOFT S.R.L.,66,858,13,66,858,Contratado,Cronograma
20-0020-02-1041633-0-E,21,4713000,39100,PAPEL DE COCINA,UNIDADE S,320,,,OFISOFT S.R.L.,6.65,2128,320,6.65,2128,Contratado,Cronograma
20-0020-02-1041633-0-E,22,4713000,39100,LAVA VAJILLAS DE 5 LTS.,BIDONES,13,,,OFISOFT S.R.L.,61,793,13,61,793,Contratado,Cronograma
20-0020-02-1041633-0-E,23,4713000,39100,ESCOBAS,UNIDADE S,18,,,OFISOFT S.R.L.,12,216,18,12,216,Contratado,Cronograma
20-0020-02-1041633-0-E,24,4713000,39100,LIMPIA VIDRIOS,UNIDADE S,54,,,OFISOFT S.R.L.,16.5,891,54,16.5,891,Contratado,Cronograma
20-0020-02-1041633-0-E,25,4713000,39100,CREMA DE AFEITAR,UNIDADE,12,,,OFISOFT S.R.L.,20,240,12,20,240,Contratado,Cronograma
20-0020-02-1041633-0-E,26,4713000,39100,ALCOHOL EN GEL DE 500 ML,UNIDADE S,320,,,OFISOFT S.R.L.,20,6400,320,20,6400,Contratado,Cronograma
20-0020-02-1041633-0-E,27,4713000,39100,LIMPIA VIDRIOS DE 5 LTS.,BIDONES,13,,,OFISOFT S.R.L.,58,754,13,58,754,Contratado,Cronograma
20-0020-02-1041633-0-E,28,4713000,39100,PASTILLAS PARA TANQUE DE INODORO,36,36,,,OFISOFT S.R.L.,9,324,36,9,324,Contratado,Cronograma
20-0020-02-1041633-0-E,29,4713000,39100,LUSTRA MUEBLES,UNIDADE S,54,,,OFISOFT S.R.L.,20,1080,54,20,1080,Contratado,Cronograma
20-0020-02-1044843-0-E,1,5310000,33300,PONCHOS IMPERMEABLES,UNIDADE S,10,,,BALBOA MAMANI ERICK,70,700,10,70,700,Contratado,Cronograma
20-0020-02-1044843-0-E,2,4616000,39990,"LETRERO DE SEGURIDAD DE 1 X 0,60 CON LEYENDA",UNIDADE S,4,,,BALBOA MAMANI ERICK,380,1520,4,380,1520,Contratado,Cronograma
20-0020-02-1044843-0-E,3,5310000,33300,CHALECOS REFLECTIVOS,UNIDADE S,12,,,BALBOA MAMANI ERICK,60,720,12,60,720,Contratado,Cronograma
20-0020-02-1044843-0-E,4,4616000,39990,"LETRERO DE SEGURIDAD CON LEYENDA DE 1,60 CM",UNIDADE S,4,,,BALBOA MAMANI ERICK,320,1280,4,320,1280,Contratado,Cronograma
20-0020-02-1044843-0-E,5,4616000,39990,"CABALLETES DE 2,5 X 1 X 0,40 CM CON AVISO",UNIDADE S,4,,,BALBOA MAMANI ERICK,1600,6400,4,1600,6400,Contratado,Cronograma
20-0020-02-1044843-0-E,6,4616000,39990,"CABALLETES DE 2,5 X 1 X 0,40 CM.",UNIDADE S,8,,,BALBOA MAMANI ERICK,1400,11200,8,1400,11200,Contratado,Cronograma
20-0020-02-1047872-0-E,1,4713000,39100,TRAPOS PLOMOS DE PISO,UNIDADE S,120,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,6,720,120,6,720,Contratado,Cronograma
20-0020-02-1047872-0-E,2,4713000,39100,JABONCILLO EN BARRA,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,4.2,1344,320,4.2,1344,Contratado,Cronograma
20-0020-02-1047872-0-E,3,4713000,39100,LUSTRA MUEBLES,UNIDADE S,48,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,21,1008,48,21,1008,Contratado,Cronograma
20-0020-02-1047872-0-E,4,4713000,39100,DESINFECTANTE ANTIBACTERIAL,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,26,8320,320,26,8320,Contratado,Cronograma
20-0020-02-1047872-0-E,5,4713000,39100,LIMPIA VIDRIOS,UNIDADE S,40,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,16,640,40,16,640,Contratado,Cronograma
20-0020-02-1047872-0-E,6,4713000,39100,AMBIENTADOR DE 250 ML.,UNIDADE S,50,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,40,2000,50,40,2000,Contratado,Cronograma
20-0020-02-1047872-0-E,7,4713000,39100,PASTILLAS PARA INODORO,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,4.5,1440,320,4.5,1440,Contratado,Cronograma
20-0020-02-1047872-0-E,8,4713000,39100,SACA GRASA,UNIDADE S,32,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,16,512,32,16,512,Contratado,Cronograma
20-0020-02-1047872-0-E,9,4713000,39100,JABON LIQUIDO DE 5 LTS.,UNIDADE S,36,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,50,1800,36,50,1800,Contratado,Cronograma
20-0020-02-1047872-0-E,10,4713000,39100,PAPEL HIGIENICO DOBLE HOJA,PAQUET ES,32,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,32,1024,32,32,1024,Contratado,Cronograma
20-0020-02-1047872-0-E,11,4713000,39100,PAPEL TOALLA,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,6.5,2080,320,6.5,2080,Contratado,Cronograma
20-0020-02-1047872-0-E,12,4713000,39100,AMBIENTADOR EN SPRAY,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,11.5,3680,320,11.5,3680,Contratado,Cronograma
20-0020-02-1047872-0-E,13,4713000,39100,LAVAVAJILLAS,UNIDADE S,40,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,16,640,40,16,640,Contratado,Cronograma
20-0020-02-1047872-0-E,14,4713000,39100,ALCOHOL EN GEL DE 5 LTS.,UNIDADE S,36,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,65,2340,36,65,2340,Contratado,Cronograma
20-0020-02-1047872-0-E,15,4713000,39100,JABON LIQUIDO,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,16.8,5376,320,16.8,5376,Contratado,Cronograma
20-0020-02-1047872-0-E,16,4713000,39100,ALCOHOL EN GEL 500 ML,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,20.5,6560,320,20.5,6560,Contratado,Cronograma
20-0020-02-1047872-0-E,17,4713000,39100,ESPONJAS,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,4.8,1536,320,4.8,1536,Contratado,Cronograma
20-0020-02-1047872-0-E,18,4713000,39100,TOALLAS HUMEDAS PQTES. 100 UU.,UNIDADE S,320,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,11.5,3680,320,11.5,3680,Contratado,Cronograma
20-0020-02-1047872-0-E,19,4713000,39100,LIMPIA BAÑOS DE 5 LTS.,UNIDADE S,60,,,VILLAVICENCIO RODRIGO MIGUEL ANGEL,55,3300,60,55,3300,Contratado,Cronograma
20-0020-10-1039227-0-E,1,4213000,39400,MASCARA PROTECTORA DE BIOSEGURIDAD,UNIDAD,20,,,MERCADO  ALLYSSON MELANNY,320,6400,20,320,6400,Contratado,Cronograma
20-0020-10-1039227-0-E,2,4713000,34500,BOLSAS ROJAS,PAQUET E,5,,,MERCADO  ALLYSSON MELANNY,60,300,5,60,300,Contratado,Cronograma
20-0020-10-1039227-0-E,3,4712000,33300,LENTES DE SEGURIDAD,UNIDAD,20,,,MERCADO  ALLYSSON MELANNY,90,1800,20,90,1800,Contratado,Cronograma
20-0020-10-1039227-0-E,4,4713000,33300,GUANTES DE GOMA (PARES),UNIDAD,24,,,MERCADO  ALLYSSON MELANNY,8.5,204,24,8.5,204,Contratado,Cronograma
20-0020-10-1039227-0-E,5,4713000,39100,TRAPOS PLOMOS,UNIDAD,20,,,MERCADO  ALLYSSON MELANNY,5,100,20,5,100,Contratado,Cronograma
20-0020-10-1039227-0-E,6,4213000,39400,TRAJE DE PROTECCIÓN DE BIOSEGURIDAD,UNIDAD,20,,,MERCADO  ALLYSSON MELANNY,110,2200,20,110,2200,Contratado,Cronograma
20-0020-10-1039227-0-E,7,4712000,33300,GUANTES DESECHABLES,CAJA,50,,,MERCADO  ALLYSSON MELANNY,53.5,2675,50,53.5,2675,Contratado,Cronograma
20-0020-10-1039227-0-E,8,4713000,39100,DETERGENTE LIQUIDO P/VAJILLA,UNIDAD,3,,,MERCADO  ALLYSSON MELANNY,19,57,3,19,57,Contratado,Cronograma
20-0020-10-1039227-0-E,9,4713000,34500,PAQUETES DE BOLSAS NEGRAS DE 50 UU.,PAQUET E,5,,,MERCADO  ALLYSSON MELANNY,40,200,5,40,200,Contratado,Cronograma
20-0020-10-1039227-0-E,10,4713000,39100,HARAGAN,UNIDAD,4,,,MERCADO  ALLYSSON MELANNY,15,60,4,15,60,Contratado,Cronograma
20-0020-10-1039227-0-E,11,4713000,39100,ESPONJAS  P/VAJILLA,UNIDAD,20,,,MERCADO  ALLYSSON MELANNY,2,40,20,2,40,Contratado,Cronograma
20-0020-10-1039227-0-E,12,4713000,39100,ESCOBAS,UNIDAD,4,,,MERCADO  ALLYSSON MELANNY,20,80,4,20,80,Contratado,Cronograma
20-0020-10-1039227-0-E,13,4713000,39100,CEPILLO DE LIMPIAR INODORO,UNIDAD,3,,,MERCADO  ALLYSSON MELANNY,12,36,3,12,36,Contratado,Cronograma
20-0020-10-1039227-0-E,14,4713000,39100,PAPEL HIGIÉNICO DOBLE HOJA,PAQUET E,10,,,MERCADO  ALLYSSON MELANNY,25,250,10,25,250,Contratado,Cronograma
20-0020-10-1039227-0-E,15,4713000,39100,ALCOHOL EN GEL 360 ML-,UNIDAD,50,,,MERCADO  ALLYSSON MELANNY,27,1350,50,27,1350,Contratado,Cronograma
20-0020-10-1039227-0-E,16,4713000,39100,ALCOHOL EN GEL DE LITRO,UNIDAD,50,,,MERCADO  ALLYSSON MELANNY,58,2900,50,58,2900,Contratado,Cronograma
20-0020-10-1039227-0-E,17,4713000,39100,JABON LIQUIDO 360 ML.,UNIDAD,50,,,MERCADO  ALLYSSON MELANNY,21,1050,50,21,1050,Contratado,Cronograma
20-0020-10-1039227-0-E,18,4713000,39100,AMBIENTADORES LISOFORM DE 415 GR.,PIEZA,38,,,MERCADO  ALLYSSON MELANNY,38.8,1474.4,38,38.8,1474.4,Contratado,Cronograma
20-0020-10-1041314-0-E,1,1510000,34110,GASOLINA,LITROS,14000,,,ESTACION DE SERVICIOS VOLCAN S.R.L.,3.74,52360,14000,3.74,52360,Contratado,Cronograma
20-0020-10-1041314-0-E,2,1510000,34110,DIESEL,LITROS,8500,,,ESTACION DE SERVICIOS VOLCAN S.R.L.,3.72,31620,8500,3.72,31620,Contratado,Cronograma
20-0030-00-1048655-0-E,1,4219000,39400,TERMOMETROS DIGITALES,PIEZA,26,,,LOAYZA HIDALGO DUBER FERNANDO,430,11180,26,430,11180,Contratado,Cronograma
20-0030-00-1048655-0-E,2,5121000,34500,BARBIJOS KN95,PIEZA,2300,,,LOAYZA HIDALGO DUBER FERNANDO,16,36800,2300,16,36800,Contratado,Cronograma
20-0035-01-1040591-0-E,1,2315000,24300,CABINAS DE DESINFECCION Y SANITIZADOR,UNIDAD,4,,,INSIGNIA  S.R.L.,10890,43560,4,10890,43560,Contratado,Cronograma
20-0046-00-1038959-0-E,1,4214000,43400,CAMILLAS DE TRANSPORTE,PIEZA,16,,,TERRAZAS RIVAS MIGUEL ANGEL,9295,148720,16,9295,148720,Contratado,Cronograma
20-0046-00-1038991-0-E,1,4214000,43400,DESFIBRILADOR BIFASICO,PIEZA,3,,,TERRAZAS MONTENEGRO ANDRE NICOLAS,149990,449970,3,149990,449970,Contratado,Cronograma
20-0046-00-1039017-0-E,1,4214000,43400,LENTES DE PROTECCION ANTIPARRAS REUTILIZABLE PARA LA EMERGENCIA COVID - 19,PIEZA,1000,,,CLAVIJO POPOVA VICTOR,75,75000,,,,Contratado,Cronograma
20-0046-00-1039026-0-E,1,4214000,43400,DESBIBRILADOR,PIEZA,3,,,RVC MEDICAL S.R.L.,107800,323400,3,107800,323400,Contratado,Cronograma
20-0046-00-1039039-0-E,1,4214000,43400,TUBOS DE OXIGENO CON MANOMETRO,PIEZA,22,,,TORREZ TICONA ROBERTO CARLOS,2300,50600,22,2300,50600,Contratado,Cronograma
20-0046-00-1039060-0-E,1,4214000,33300,GUANTES DE LATEX DE NITRILO,CAJA,1860,,,NIPRO MEDICAL CORPORATION-SUCURSAL BOLIVIA,35,65100,1860,35,65100,Contratado,Cronograma
20-0046-00-1039093-0-E,1,4214000,43400,TUBO DE OXIGENO CON MANOMETRO CAPACIDAD 2000 LBS,PIEZA,30,,,TORREZ TICONA ROBERTO CARLOS,2300,69000,30,2300,69000,Contratado,Cronograma
20-0046-00-1039924-0-E,1,4217000,33300,BARBIJO DESECHABLE DOBLE FILTRO TIPO PN 2.5,PIEZA,2000,,,CLAVIJO POPOVA VICTOR,35,70000,2000,35,70000,Contratado,Cronograma
20-0046-00-1039924-0-E,2,4217000,33300,BARBIJO DESECHABLE TIPO PN 2.5,PIEZA,1200,,,CLAVIJO POPOVA VICTOR,6.9,8280,1200,6.9,8280,Contratado,Cronograma
20-0046-00-1039924-0-E,3,4217000,33300,BARBIJO DESECHABLE,PIEZA,1250,,,CLAVIJO POPOVA VICTOR,5.5,6875,1250,5.5,6875,Contratado,Cronograma
20-0046-00-1039924-0-E,4,4217000,33300,BARBIJO DESECHABLE EN CAJA,PIEZA,22100,,,CLAVIJO POPOVA VICTOR,5.9,130390,22100,5.9,130390,Contratado,Cronograma
20-0046-00-1039924-0-E,5,4217000,33300,BARBIJO DESECHABLE CON DISEÑO,PIEZA,2000,,,CLAVIJO POPOVA VICTOR,4.5,9000,2000,4.5,9000,Contratado,Cronograma
20-0046-00-1040174-0-E,1,4112000,34200,TIPS CON FILTRO DE 1000 UL EN RACK,RACK,36,,,SANCHEZ ZAMBRANA JUANA LUISA,864,31104,36,864,31104,Contratado,Cronograma
20-0046-00-1040174-0-E,2,4112000,34200,TIPS CON FILTRO DE 200 UL EN RACK,RACK,51,,,SANCHEZ ZAMBRANA JUANA LUISA,746,38046,51,746,38046,Contratado,Cronograma
20-0046-00-1040174-0-E,3,4112000,34200,TIPS CON FILTRO DE 10 UL EN RACK,RACK,15,,,SANCHEZ ZAMBRANA JUANA LUISA,759,11385,15,759,11385,Contratado,Cronograma
